,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,,2,0,2
2,0,,0,0
3,4,,0,4
4,,0,0,0
5,2,,0,2
6,,1,0,1
7,0,,0,0
8,2,,0,2
9,,2,0,2
10,,1,0,1
11,0,,0,0
12,,0,0,0
13,,0,0,0
14,,0,0,0
15,2,,0,2
16,0,,0,0
17,0,,0,0
18,2,,0,2
19,0,,0,0
20,0,,0,0
21,,2,0,2
22,0,,0,0
23,0,,0,0
24,0,,0,0
25,1,,0,1
26,0,,0,0
27,0,,0,0
28,1,,0,1
29,0,,0,0
30,0,,0,0
31,0,,0,0
32,1,,0,1
33,,0,0,0
34,3,,0,3
35,0,,0,0
36,1,,0,1
37,0,,0,0
38,,0,0,0
39,0,,0,0
40,0,,0,0
41,0,,0,0
42,0,,0,0
43,0,,0,0
44,0,,0,0
45,0,,0,0
46,0,,0,0
47,0,,0,0
48,3,,0,3
49,0,,0,0
50,,0,0,0
51,2,,0,2
52,3,,0,3
53,1,,0,1
54,0,,0,0
55,0,,0,0
56,0,,0,0
57,2,,0,2
58,,1,0,1
59,3,,0,3
60,3,,0,3
61,0,,0,0
62,0,,0,0
63,0,,0,0
64,,0,0,0
65,0,,0,0
66,0,,0,0
67,1,,0,1
68,0,,0,0
69,5,,0,5
70,1,,0,1
71,0,,0,0
72,1,,0,1
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,1,,0,1
77,4,,0,4
78,0,,0,0
79,0,,0,0
80,0,,0,0
81,0,,0,0
82,0,,0,0
83,,0,0,0
84,3,,0,3
85,0,,0,0
86,0,,0,0
87,0,,0,0
88,,0,0,0
89,1,,0,1
90,,0,0,0
91,1,,0,1
92,0,,0,0
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,1,,0,1
99,0,,0,0
100,1,,0,1
101,1,,0,1
102,0,,0,0
103,0,,0,0
104,,0,0,0
105,0,,0,0
106,0,,0,0
107,0,,0,0
108,,0,0,0
109,0,,0,0
110,1,,0,1
111,0,,0,0
112,,2,0,2
113,4,,0,4
114,1,,0,1
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,0,,0,0
120,0,,0,0
121,0,,0,0
122,7,,0,7
123,0,,0,0
124,1,,0,1
125,1,,0,1
126,3,,0,3
127,1,,0,1
128,1,,0,1
129,2,,0,2
130,0,,0,0
131,2,,0,2
132,2,,0,2
133,,0,0,0
134,0,,0,0
135,0,,0,0
136,4,,0,4
137,,1,0,1
138,1,,0,1
139,2,,0,2
140,1,,0,1
141,2,,0,2
142,3,,0,3
143,2,,0,2
144,4,,0,4
145,1,,0,1
146,1,,0,1
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,2,,0,2
153,0,,0,0
154,0,,0,0
155,1,,0,1
156,3,,0,3
157,1,,0,1
158,,0,0,0
159,1,,0,1
160,2,,0,2
161,,0,0,0
162,0,,0,0
163,0,,0,0
164,0,,0,0
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,,1,0,1
173,0,,0,0
174,1,,0,1
175,1,,0,1
176,,1,0,1
