,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,2,,1,1
1,,0,0,0
2,1,,0,1
3,0,,0,0
4,,0,0,0
5,0,,0,0
6,0,,0,0
7,,0,0,0
8,2,,1,1
9,0,,0,0
10,0,,0,0
11,,0,0,0
12,0,,0,0
13,1,,1,0
14,0,,0,0
15,0,,0,0
16,0,,0,0
17,2,,2,0
18,,0,0,0
19,0,,0,0
20,0,,0,0
21,,1,0,1
22,1,,0,1
23,0,,0,0
24,,0,0,0
25,1,,0,1
26,0,,0,0
27,,0,0,0
28,,0,0,0
29,0,,0,0
30,,0,0,0
31,1,,1,0
32,,1,0,1
33,1,,1,0
34,0,,0,0
35,1,,1,0
36,,0,0,0
37,1,,1,0
38,,0,0,0
39,,1,0,1
40,,0,0,0
41,,0,0,0
42,2,,2,0
43,0,,0,0
44,,0,0,0
45,,1,0,1
46,,0,0,0
47,,0,0,0
48,0,,0,0
49,0,,0,0
50,0,,0,0
51,1,,0,1
52,1,,0,1
53,,1,0,1
54,2,,0,2
55,0,,0,0
56,,0,0,0
57,0,,0,0
58,,0,0,0
59,0,,0,0
60,,1,1,0
61,,0,0,0
62,,0,0,0
63,0,,0,0
64,,1,0,1
65,0,,0,0
66,2,,1,1
67,0,,0,0
68,3,,1,2
69,0,,0,0
70,0,,0,0
71,1,,1,0
72,,0,0,0
73,,0,0,0
74,,0,0,0
75,0,,0,0
76,1,,1,0
77,3,,2,1
78,0,,0,0
79,,1,1,0
80,,0,0,0
81,0,,0,0
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,3,,3,0
86,,1,1,0
87,,1,0,1
88,0,,0,0
89,0,,0,0
90,,0,0,0
91,2,,0,2
92,0,,0,0
93,0,,0,0
94,2,,1,1
95,2,,2,0
96,0,,0,0
97,0,,0,0
98,1,,0,1
99,0,,0,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,,0,0,0
104,1,,1,0
105,2,,1,1
106,,1,0,1
107,2,,2,0
108,,1,0,1
109,1,,0,1
110,,1,1,0
111,0,,0,0
112,,1,0,1
113,,0,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,,0,0,0
118,,0,0,0
119,,0,0,0
120,0,,0,0
121,0,,0,0
122,,0,0,0
123,,0,0,0
124,0,,0,0
125,0,,0,0
126,,1,0,1
127,,1,1,0
128,0,,0,0
129,,0,0,0
130,,0,0,0
131,1,,1,0
132,,0,0,0
133,0,,0,0
134,3,,2,1
135,1,,1,0
136,0,,0,0
137,0,,0,0
138,3,,2,1
139,2,,1,1
140,,1,0,1
141,1,,0,1
142,0,,0,0
143,,0,0,0
144,,0,0,0
145,2,,2,0
146,0,,0,0
147,0,,0,0
148,0,,0,0
149,,0,0,0
150,0,,0,0
151,,0,0,0
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,1,,0,1
158,,0,0,0
159,0,,0,0
160,2,,1,1
161,1,,0,1
162,1,,0,1
163,,0,0,0
164,,0,0,0
165,0,,0,0
166,1,,1,0
167,2,,1,1
168,0,,0,0
169,0,,0,0
170,3,,0,3
171,0,,0,0
172,3,,1,2
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,,1,1,0
179,0,,0,0
180,2,,2,0
181,0,,0,0
182,,1,0,1
183,0,,0,0
184,1,,0,1
185,0,,0,0
186,0,,0,0
187,0,,0,0
188,0,,0,0
189,,0,0,0
190,0,,0,0
191,0,,0,0
192,2,,2,0
193,0,,0,0
194,0,,0,0
195,2,,2,0
196,0,,0,0
197,0,,0,0
198,1,,1,0
199,0,,0,0
200,1,,1,0
201,,0,0,0
202,,0,0,0
203,2,,1,1
204,0,,0,0
205,1,,0,1
206,1,,0,1
207,,0,0,0
208,0,,0,0
209,0,,0,0
210,0,,0,0
211,0,,0,0
212,4,,3,1
213,2,,2,0
214,,1,0,1
215,0,,0,0
216,2,,0,2
217,,0,0,0
218,0,,0,0
219,,0,0,0
220,4,,2,2
221,0,,0,0
222,0,,0,0
223,0,,0,0
224,,2,2,0
225,,1,1,0
226,,2,1,1
227,2,,2,0
228,0,,0,0
229,,1,1,0
230,0,,0,0
231,0,,0,0
232,1,,1,0
233,1,,0,1
234,0,,0,0
235,4,,4,0
236,,0,0,0
237,,0,0,0
238,0,,0,0
239,0,,0,0
240,,1,1,0
241,,0,0,0
242,0,,0,0
243,0,,0,0
244,0,,0,0
245,,0,0,0
246,1,,0,1
247,1,,0,1
248,2,,2,0
249,0,,0,0
250,0,,0,0
251,0,,0,0
252,,0,0,0
253,,0,0,0
254,3,,3,0
255,,0,0,0
256,2,,1,1
257,,0,0,0
258,0,,0,0
259,0,,0,0
260,1,,1,0
261,0,,0,0
262,0,,0,0
263,0,,0,0
264,1,,0,1
265,1,,0,1
266,0,,0,0
267,0,,0,0
268,2,,2,0
269,1,,1,0
270,,0,0,0
271,,0,0,0
272,0,,0,0
273,,0,0,0
274,,0,0,0
275,2,,2,0
276,0,,0,0
277,0,,0,0
278,,0,0,0
279,0,,0,0
280,,0,0,0
281,0,,0,0
282,1,,1,0
283,0,,0,0
284,0,,0,0
285,,0,0,0
286,,0,0,0
287,,0,0,0
