,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,1,0,1
1,,0,0,0
2,1,,0,1
3,0,,0,0
4,0,,0,0
5,2,,1,1
6,0,,0,0
7,,0,0,0
8,1,,0,1
9,,0,0,0
10,0,,0,0
11,,0,0,0
12,,0,0,0
13,0,,0,0
14,1,,0,1
15,4,,3,1
16,4,,4,0
17,,0,0,0
18,,1,1,0
19,,0,0,0
20,2,,2,0
21,1,,0,1
22,,0,0,0
23,0,,0,0
24,0,,0,0
25,4,,4,0
26,0,,0,0
27,1,,0,1
28,,1,0,1
29,1,,1,0
30,0,,0,0
31,,0,0,0
32,2,,2,0
33,0,,0,0
34,2,,2,0
35,1,,1,0
36,2,,1,1
37,,0,0,0
38,1,,1,0
39,0,,0,0
40,0,,0,0
41,,0,0,0
42,1,,1,0
43,1,,1,0
44,0,,0,0
45,0,,0,0
46,2,,2,0
47,2,,1,1
48,,1,0,1
49,1,,0,1
50,0,,0,0
51,,1,0,1
52,0,,0,0
53,0,,0,0
54,0,,0,0
55,2,,2,0
56,2,,2,0
57,1,,0,1
58,,1,1,0
59,0,,0,0
60,,0,0,0
61,,0,0,0
62,,0,0,0
63,1,,0,1
64,1,,0,1
65,2,,2,0
66,1,,1,0
67,,1,1,0
68,0,,0,0
69,0,,0,0
70,2,,2,0
71,0,,0,0
72,,0,0,0
73,,0,0,0
74,0,,0,0
75,,2,1,1
76,,0,0,0
77,2,,1,1
78,0,,0,0
79,3,,2,1
80,2,,2,0
81,0,,0,0
82,0,,0,0
83,0,,0,0
84,0,,0,0
85,1,,0,1
86,0,,0,0
87,,0,0,0
88,0,,0,0
89,,0,0,0
90,1,,1,0
91,0,,0,0
92,,0,0,0
93,,0,0,0
94,0,,0,0
95,1,,1,0
96,0,,0,0
97,0,,0,0
98,0,,0,0
99,,0,0,0
100,0,,0,0
101,0,,0,0
102,1,,0,1
103,,0,0,0
104,0,,0,0
105,1,,1,0
106,2,,2,0
107,0,,0,0
108,2,,2,0
109,2,,1,1
110,0,,0,0
111,0,,0,0
112,0,,0,0
113,1,,1,0
114,,1,1,0
115,0,,0,0
116,1,,1,0
117,0,,0,0
118,3,,3,0
119,2,,2,0
120,0,,0,0
121,0,,0,0
122,2,,2,0
123,,0,0,0
124,,0,0,0
125,,0,0,0
126,0,,0,0
127,1,,1,0
128,0,,0,0
129,,0,0,0
130,,0,0,0
131,,0,0,0
132,2,,2,0
133,0,,0,0
134,2,,2,0
135,2,,1,1
136,0,,0,0
137,,0,0,0
138,3,,3,0
139,,0,0,0
140,2,,1,1
141,,0,0,0
142,0,,0,0
143,1,,1,0
144,0,,0,0
145,1,,0,1
146,0,,0,0
147,,1,1,0
148,0,,0,0
149,2,,1,1
150,2,,2,0
151,1,,0,1
152,0,,0,0
153,,0,0,0
154,0,,0,0
155,5,,5,0
156,,0,0,0
157,0,,0,0
158,3,,3,0
159,1,,1,0
160,,1,0,1
161,0,,0,0
162,,0,0,0
163,0,,0,0
164,,0,0,0
165,0,,0,0
166,,0,0,0
167,0,,0,0
168,,0,0,0
169,,1,0,1
170,3,,3,0
171,0,,0,0
172,1,,0,1
173,0,,0,0
174,0,,0,0
175,2,,2,0
176,0,,0,0
177,,0,0,0
178,0,,0,0
