,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,,1,1,0
1,0,,0,0
2,,0,0,0
3,0,,0,0
4,,0,0,0
5,,1,1,0
6,,0,0,0
7,0,,0,0
8,,0,0,0
9,,0,0,0
10,1,,1,0
11,,0,0,0
12,0,,0,0
13,2,,2,0
14,0,,0,0
15,,0,0,0
16,,0,0,0
17,3,,2,1
18,,1,1,0
19,,1,0,1
20,0,,0,0
21,,0,0,0
22,,1,1,0
23,,3,3,0
24,,0,0,0
25,2,,2,0
26,0,,0,0
27,2,,2,0
28,,1,1,0
29,,0,0,0
30,1,,1,0
31,0,,0,0
32,1,,1,0
33,,1,0,1
34,1,,0,1
35,2,,2,0
36,0,,0,0
37,5,,3,2
38,,1,0,1
39,,2,2,0
40,0,,0,0
41,0,,0,0
42,0,,0,0
43,,1,1,0
44,,1,1,0
45,,0,0,0
46,2,,2,0
47,0,,0,0
48,1,,1,0
49,0,,0,0
50,0,,0,0
51,3,,3,0
52,0,,0,0
53,1,,1,0
54,1,,1,0
55,0,,0,0
56,,1,1,0
57,1,,1,0
58,1,,1,0
59,0,,0,0
60,2,,2,0
61,0,,0,0
62,,2,2,0
63,2,,2,0
64,0,,0,0
65,0,,0,0
66,0,,0,0
67,,0,0,0
68,1,,1,0
69,1,,1,0
70,0,,0,0
71,0,,0,0
72,0,,0,0
73,,0,0,0
74,1,,1,0
75,,0,0,0
76,1,,1,0
77,0,,0,0
78,1,,0,1
79,0,,0,0
80,0,,0,0
81,0,,0,0
82,0,,0,0
83,,3,2,1
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,,4,3,1
88,,2,1,1
89,0,,0,0
90,,0,0,0
91,1,,0,1
92,2,,2,0
93,1,,0,1
94,2,,2,0
95,3,,2,1
96,2,,2,0
97,0,,0,0
98,1,,1,0
99,0,,0,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,,1,1,0
104,,2,1,1
105,1,,1,0
106,,0,0,0
107,1,,1,0
108,2,,1,1
109,0,,0,0
110,0,,0,0
111,0,,0,0
112,,0,0,0
113,0,,0,0
114,4,,4,0
115,1,,1,0
116,0,,0,0
117,,1,1,0
118,,0,0,0
119,1,,1,0
120,0,,0,0
121,3,,3,0
122,2,,2,0
123,,1,1,0
124,1,,1,0
125,,1,0,1
126,0,,0,0
127,0,,0,0
128,2,,2,0
129,1,,1,0
130,,0,0,0
131,1,,1,0
132,0,,0,0
133,2,,2,0
134,,2,2,0
135,0,,0,0
136,0,,0,0
137,,1,1,0
138,,0,0,0
139,2,,2,0
140,2,,2,0
141,,1,1,0
142,0,,0,0
143,1,,1,0
144,3,,2,1
145,,0,0,0
146,,1,1,0
147,2,,1,1
148,0,,0,0
149,1,,1,0
150,0,,0,0
151,1,,1,0
152,,2,1,1
153,1,,1,0
154,,0,0,0
155,1,,1,0
156,1,,0,1
157,,2,2,0
158,1,,1,0
159,1,,1,0
160,,4,4,0
161,,3,3,0
162,,0,0,0
163,,1,1,0
164,,1,1,0
165,1,,1,0
166,1,,1,0
167,0,,0,0
168,0,,0,0
169,,0,0,0
170,0,,0,0
171,0,,0,0
172,2,,2,0
173,1,,1,0
174,,1,1,0
175,1,,1,0
176,1,,1,0
177,,1,1,0
178,,2,2,0
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,0,,0,0
183,,2,2,0
184,,0,0,0
185,0,,0,0
186,2,,1,1
187,,0,0,0
188,0,,0,0
189,3,,3,0
190,0,,0,0
191,,0,0,0
192,0,,0,0
193,1,,1,0
194,0,,0,0
195,2,,1,1
196,,3,3,0
197,0,,0,0
198,0,,0,0
199,0,,0,0
200,1,,1,0
201,1,,1,0
202,0,,0,0
203,0,,0,0
204,1,,1,0
205,1,,1,0
206,0,,0,0
207,0,,0,0
208,1,,1,0
209,1,,1,0
210,0,,0,0
211,0,,0,0
212,,0,0,0
213,,0,0,0
214,0,,0,0
215,2,,2,0
216,3,,1,2
217,0,,0,0
218,2,,2,0
219,1,,1,0
220,2,,2,0
221,0,,0,0
222,1,,1,0
223,0,,0,0
224,0,,0,0
225,,0,0,0
226,5,,4,1
227,1,,1,0
228,1,,1,0
229,1,,1,0
230,0,,0,0
231,,1,1,0
232,1,,1,0
233,2,,2,0
234,0,,0,0
235,,0,0,0
236,,0,0,0
237,3,,3,0
238,,1,0,1
239,,0,0,0
240,0,,0,0
241,0,,0,0
242,,1,0,1
243,2,,1,1
244,0,,0,0
245,,0,0,0
246,,1,1,0
247,1,,1,0
248,2,,2,0
249,0,,0,0
250,1,,0,1
251,0,,0,0
252,1,,1,0
253,1,,1,0
254,2,,2,0
255,2,,2,0
256,0,,0,0
257,1,,1,0
258,0,,0,0
259,1,,0,1
260,,2,2,0
261,0,,0,0
262,,1,1,0
263,0,,0,0
264,3,,2,1
265,0,,0,0
266,0,,0,0
267,,1,1,0
268,0,,0,0
269,0,,0,0
270,0,,0,0
271,3,,2,1
272,,0,0,0
273,2,,2,0
274,1,,1,0
275,3,,3,0
276,1,,1,0
277,5,,5,0
278,2,,2,0
279,1,,0,1
280,,2,2,0
281,,0,0,0
282,,1,0,1
283,,2,2,0
284,2,,1,1
285,2,,2,0
286,,1,1,0
287,0,,0,0
288,0,,0,0
289,,0,0,0
290,2,,2,0
291,0,,0,0
292,0,,0,0
293,0,,0,0
294,0,,0,0
295,,2,2,0
296,4,,4,0
297,1,,1,0
298,,3,2,1
299,1,,1,0
300,2,,2,0
301,0,,0,0
302,2,,2,0
303,2,,1,1
304,0,,0,0
305,,2,2,0
306,,0,0,0
307,1,,0,1
308,1,,1,0
309,,0,0,0
310,1,,0,1
311,2,,2,0
312,0,,0,0
313,,0,0,0
314,0,,0,0
315,0,,0,0
316,0,,0,0
317,3,,3,0
318,2,,2,0
319,0,,0,0
320,,0,0,0
321,0,,0,0
322,,1,0,1
323,0,,0,0
324,0,,0,0
325,,1,1,0
326,0,,0,0
327,0,,0,0
328,1,,1,0
329,0,,0,0
330,0,,0,0
331,1,,1,0
332,1,,1,0
333,1,,1,0
334,1,,1,0
335,3,,3,0
336,1,,1,0
337,,0,0,0
338,1,,1,0
339,2,,2,0
340,1,,1,0
341,,1,1,0
342,1,,1,0
343,,1,1,0
344,5,,4,1
345,0,,0,0
346,0,,0,0
347,0,,0,0
348,0,,0,0
349,,6,6,0
350,0,,0,0
351,0,,0,0
352,0,,0,0
