,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,0,,0,0
1,0,,0,0
2,0,,0,0
3,0,,0,0
4,2,,0,2
5,4,,0,4
6,2,,0,2
7,0,,0,0
8,0,,0,0
9,0,,0,0
10,0,,0,0
11,1,,0,1
12,0,,0,0
13,2,,0,2
14,4,,0,4
15,,0,0,0
16,0,,0,0
17,,0,0,0
18,0,,0,0
19,4,,0,4
20,0,,0,0
21,0,,0,0
22,0,,0,0
23,0,,0,0
24,0,,0,0
25,0,,0,0
26,0,,0,0
27,,1,0,1
28,0,,0,0
29,,0,0,0
30,0,,0,0
31,,0,0,0
32,,0,0,0
33,,0,0,0
34,0,,0,0
35,2,,0,2
36,3,,0,3
37,0,,0,0
38,2,,0,2
39,,2,0,2
40,1,,0,1
41,3,,0,3
42,2,,0,2
43,0,,0,0
44,0,,0,0
45,3,,0,3
46,3,,0,3
47,0,,0,0
48,1,,0,1
49,0,,0,0
50,0,,0,0
51,,0,0,0
52,1,,0,1
53,4,,0,4
54,,2,0,2
55,0,,0,0
56,5,,0,5
57,0,,0,0
58,2,,0,2
59,0,,0,0
60,,3,0,3
61,0,,0,0
62,1,,0,1
63,,1,0,1
64,0,,0,0
65,0,,0,0
66,,0,0,0
67,0,,0,0
68,0,,0,0
69,0,,0,0
70,,0,0,0
71,,4,0,4
72,1,,0,1
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,0,,0,0
77,0,,0,0
78,,3,0,3
79,1,,0,1
80,0,,0,0
81,3,,0,3
82,,2,0,2
83,0,,0,0
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,2,,0,2
88,0,,0,0
89,0,,0,0
90,1,,0,1
91,2,,0,2
92,,0,0,0
93,3,,0,3
94,1,,0,1
95,1,,0,1
96,,1,0,1
97,,3,0,3
98,0,,0,0
99,0,,0,0
100,1,,0,1
101,,0,0,0
102,1,,0,1
103,1,,0,1
104,2,,0,2
105,1,,0,1
106,1,,0,1
107,0,,0,0
108,0,,0,0
109,1,,0,1
110,2,,0,2
111,1,,0,1
112,2,,0,2
113,2,,0,2
114,0,,0,0
115,1,,0,1
116,0,,0,0
117,1,,0,1
118,1,,0,1
119,0,,0,0
120,,0,0,0
121,,0,0,0
122,1,,0,1
123,,0,0,0
124,0,,0,0
125,,0,0,0
126,1,,0,1
127,3,,0,3
128,0,,0,0
129,0,,0,0
130,0,,0,0
131,0,,0,0
132,1,,0,1
133,2,,0,2
134,,4,0,4
135,1,,0,1
136,1,,0,1
137,1,,0,1
138,,3,0,3
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,1,,0,1
143,0,,0,0
144,,2,0,2
145,1,,0,1
146,,1,0,1
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,1,,0,1
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,1,,0,1
155,0,,0,0
156,1,,0,1
157,1,,0,1
158,1,,0,1
159,2,,0,2
160,1,,0,1
161,1,,0,1
162,0,,0,0
163,,2,0,2
164,,2,0,2
165,,0,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,3,,0,3
174,,2,0,2
175,1,,0,1
176,1,,0,1
177,0,,0,0
178,1,,0,1
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,,0,0,0
183,0,,0,0
184,0,,0,0
185,3,,0,3
186,2,,0,2
187,,0,0,0
188,4,,0,4
189,,3,0,3
190,,2,0,2
191,1,,0,1
192,0,,0,0
193,,0,0,0
194,2,,0,2
195,0,,0,0
196,0,,0,0
197,0,,0,0
198,0,,0,0
199,0,,0,0
200,0,,0,0
201,1,,0,1
202,0,,0,0
203,0,,0,0
